suburb,postcode
Clifton Hill,3068
Clifton Springs,3222
Clonbinane,3658
Club Terrace,3889
Clunes,3370
Clyde,3978
Coalville,3825
Coatesville,3165
Cobden,3266
Cobram,3643
Cobram,3644
Coburg,3058
Coburg North,3058
Cockatoo,3781
Coghills Creek,3364
Cohuna,3568
Coimadai,3340
Colac,3250
Colac Colac,3707
Colbinabbin,3559
Coldstream,3770
Coleraine,3315
Colignan,3494
Collingwood,3066
Collins Street East,8003
Collins Street West,8007
Colliver,3630
Combienbar,3889
Comet Hill,3556
Condah,3303
Congupna,3633
Connewarre,3227
Connewirricoo,3318
Coolaroo,3048
Cooma,3616
Coomboona,3629
Cora Lynn,3814
Corack,3480
Coragulac,3249
Corindhap,3352
Corinella,3984
Corio,3214
Coronet Bay,3984
Corop,3559
Cororooke,3254
Corryong,3707
Corunnun,3249
Cosgrove,3631
Costerfield,3523
Cottles Bridge,3099
Cowangie,3506
Cowes,3922
Cowwarr,3857
Craigie,3465
Craigieburn,3064
Cranbourne,3977
Cranbourne North,3977
Cranbourne South,3977
Creek Junction,3669
Creighton,3666
Cremorne,3121
Cressy,3322
Creswick,3363
Crib Point,3919
Cromer,3193
Crowlands,3377
Croydon,3136
Croydon Hills,3136
Croydon North,3136
Croydon South,3136
Cudgee,3265
Cudgewa,3705
Culgoa,3530
Cullulleraine,3496
Cundare North,3251
Curdie Vale,3268
Curdies River,3268
Curlewis,3222
Dadswells Bridge,3385
Daisy Hill,3465
Dallas,3047
Dalmore,3981
Dalyston,3992
Dandenong,3175
Dandenong South,3164
Dandenong South,3175
Dandongadale,3737
Dargo,3862
Darlimurla,3871
Darling,3145
Darlington,3271
Darnum,3822
Darraweit Guim,3756
Darriman,3851
Dartmoor,3304
Dartmouth,3701
Daylesford,3460
Deakin University,3217
Dean,3352
Deans Marsh,3235
Dederang,3691
Deer Park,3023
Deer Park East,3022
Delacombe,3356
Delahey,3037
Dendy,3186
Dennington,3280
Derby,3516
Dereel,3352
Dergholm,3312
Derrimut,3030
Derrinallum,3325
Devenish,3726
Devon Meadows,3977
Devon North,3971
Dhurringile,3610
Diamond Creek,3089
Digby,3309
Diggers Rest,3427
Dimboola,3414
Dingee,3571
Dingley Village,3172
Dinner Plain,3898
Dixons Creek,3775
Docklands,3008
Donald,3480
Doncaster,3108
Doncaster East,3109
Doncaster Heights,3109
Donnybrook,3064
Donvale,3111
Dooen,3401
Dookie,3646
Dookie College,3647
Doreen,3754
Douglas,3401
Doveton,3177
Dreeite,3249
Dromana,3936
Drouin,3818
Drummond,3461
Drummond North,3446
Drysdale,3222
Dumbalk,3956
Dundonnell,3271
Dunkeld,3294
Dunkirk,3630
Dunnstown,3352
Dunolly,3472
Durham Lead,3352
Durham Ox,3576
Duverney,3323
Eagle Point,3878
Eaglehawk,3556
Eaglemont,3084
East Geelong,3219
East Melbourne,3002
East Melbourne,8002
East Sale Raaf,3852
Eastern View,3231
Ebden,3691
Echuca,3564
Eddington,3472
Eden Park,3757
Edenhope,3318
Edithvale,3196
Eildon,3713
Elaine,3334
Eldorado,3746
Ellerslie,3265
Elliminyt,3250
Elmhurst,3469
Elmore,3558
Elphinstone,3448
Elsternwick,3185
Eltham,3095
Eltham North,3095
Elwood,3184
Emerald,3782
Emu,3475
Endeavour Hills,3802
Enfield,3352
Ensay,3895
Eppalock,3551
Epping,3076
Epping Dc,3076
Epsom,3551
Erica,3825
Eskdale,3701
Essendon,3040
Essendon North,3041
Essendon West,3040
Eureka,3350
Euroa,3666
Eurobin,3739
Evansford,3371
Everton,3678
Exford,3338
Fairfield,3078
Fairhaven,3231
Falls Creek,3699
Fawkner,3060
Fern Hill,3458
Fernbank,3864
