rental_id,top_distances,top_tram_ids
17700432,"[3872.53, 6173.77, 18866.82, 19182.98, 19371.85]","[1292, 17308, 17306, 378, 17307]"
17700896,"[3500.59, 5801.84, 15191.62, 18494.88, 18811.05]","[1292, 17308, 17307, 17306, 378]"
17708549,"[4937.13, 7238.37, 17777.66, 19931.41, 20247.58]","[1292, 17308, 17307, 17306, 378]"
17726179,"[4031.14, 6332.38, 17772.7, 19025.43, 19341.59]","[1292, 17308, 17307, 17306, 378]"
17732503,"[3500.86, 5802.1, 18428.51, 18495.15, 18811.32]","[1292, 17308, 17307, 17306, 378]"
17732572,"[4703.32, 7004.56, 17543.86, 19697.61, 20013.78]","[1292, 17308, 17307, 17306, 378]"
17742323,"[5059.84, 7361.09, 17900.38, 20054.13, 20370.3]","[1292, 17308, 17307, 17306, 378]"
17749458,"[3872.53, 6173.77, 18866.82, 19182.98, 19371.85]","[1292, 17308, 17306, 378, 17307]"
17528807,"[4175.85, 6477.1, 18436.32, 19170.14, 19486.3]","[1292, 17308, 17307, 17306, 378]"
17703059,"[1667.46, 3968.7, 13358.49, 16661.75, 16977.91]","[1292, 17308, 17307, 17306, 378]"
17712376,"[5015.47, 5754.16, 13174.66, 23433.87, 23750.04]","[1292, 17308, 17307, 17306, 378]"
17725537,"[5383.96, 6122.66, 13543.15, 23802.37, 24118.54]","[1292, 17308, 17307, 17306, 378]"
17741662,"[4799.03, 5537.72, 12958.22, 23217.43, 23533.6]","[1292, 17308, 17307, 17306, 378]"
17750158,"[4663.8, 5402.49, 12660.56, 22919.78, 23235.94]","[1292, 17308, 17307, 17306, 378]"
17592838,"[5932.12, 6324.84, 12669.71, 22928.93, 23245.09]","[1292, 17308, 17307, 17306, 378]"
17684895,"[5081.02, 5819.72, 12849.73, 23108.95, 23425.12]","[1292, 17308, 17307, 17306, 378]"
16990989,"[5181.91, 5920.6, 13341.1, 23600.32, 23916.49]","[1292, 17308, 17307, 17306, 378]"
17661380,"[4912.46, 5651.16, 13071.65, 23330.87, 23647.04]","[1292, 17308, 17307, 17306, 378]"
17287799,"[7483.43, 9784.68, 19731.7, 22477.72, 22793.89]","[1292, 17308, 17307, 17306, 378]"
17721127,"[6480.69, 8781.94, 18728.96, 21474.98, 21791.15]","[1292, 17308, 17307, 17306, 378]"
17729338,"[6861.09, 9162.33, 19109.35, 21855.37, 22171.54]","[1292, 17308, 17307, 17306, 378]"
17748787,"[7017.75, 9319.0, 19266.02, 22012.04, 22328.21]","[1292, 17308, 17307, 17306, 378]"
17748873,"[6745.9, 9047.15, 18994.17, 21740.19, 22056.36]","[1292, 17308, 17307, 17306, 378]"
17745209,"[2347.27, 2954.54, 12344.33, 20462.97, 20779.14]","[1292, 17308, 17307, 17306, 378]"
16292575,"[3192.76, 10098.1, 10951.64, 19169.55, 19485.72]","[1292, 18086, 17307, 17306, 378]"
14467354,"[3940.09, 10250.43, 11103.97, 19811.75, 20127.92]","[1292, 18086, 17307, 17306, 378]"
17741009,"[3996.76, 10067.51, 10921.05, 21180.27, 21496.44]","[1292, 18086, 17307, 17306, 378]"
17752205,"[4356.87, 10240.92, 11094.46, 21353.67, 21669.84]","[1292, 18086, 17307, 17306, 378]"
17726950,"[4349.77, 10233.82, 11087.36, 21346.57, 21662.74]","[1292, 18086, 17307, 17306, 378]"
17703977,"[5406.13, 12048.25, 12143.72, 22402.94, 22719.11]","[1292, 19482, 17307, 17306, 378]"
16088292,"[3997.34, 18950.77, 18991.63, 19307.8, 19496.66]","[1292, 4484, 17306, 378, 17307]"
17708668,"[3476.52, 14621.65, 15167.54, 18470.8, 18786.97]","[1292, 4484, 17307, 17306, 378]"
17738787,"[4672.63, 18387.21, 18933.1, 19666.92, 19983.09]","[1292, 4484, 17307, 17306, 378]"
16317810,"[38.17, 2848.76, 11445.61, 11752.36, 15348.65]","[1292, 17308, 17309, 17307, 378]"
17733535,"[274.54, 419.34, 766.38, 15534.14, 16482.93]","[14033, 13401, 17604, 17605, 17606]"
17672087,"[177.31, 203.16, 937.33, 15292.12, 16240.91]","[13401, 14033, 17604, 17605, 17606]"
9854032,"[187.92, 253.65, 1013.67, 15368.46, 16317.25]","[14033, 13401, 17604, 17605, 17606]"
17743108,"[271.54, 297.39, 1180.47, 15386.34, 16335.13]","[13401, 14033, 19565, 17605, 17606]"
16139682,"[80.71, 533.61, 770.1, 15894.26, 23312.66]","[13401, 19569, 19565, 17606, 19563]"
17025054,"[80.71, 533.61, 770.1, 15894.26, 23312.66]","[13401, 19569, 19565, 17606, 19563]"
17751662,"[356.51, 961.19, 1167.26, 16291.42, 23709.82]","[13401, 19569, 19565, 17606, 19563]"
17733542,"[63.63, 550.69, 787.17, 15911.33, 23329.74]","[13401, 19569, 19565, 17606, 19563]"
17709140,"[352.0, 11299.52, 11505.04, 11645.22, 16718.16]","[13995, 18490, 18489, 15559, 17917]"
17507425,"[312.38, 580.72, 11376.71, 11516.88, 11636.77]","[13995, 4945, 18489, 15559, 18488]"
17526399,"[312.38, 580.72, 11376.71, 11516.88, 11636.77]","[13995, 4945, 18489, 15559, 18488]"
17624456,"[18512.9, 18907.23, 18947.91, 19090.13, 24455.98]","[13995, 19472, 15559, 19665, 19666]"
17733918,"[419.9, 16774.39, 16806.06, 17073.31, 17257.72]","[4945, 13995, 18489, 18488, 18487]"
17732973,"[3567.49, 17785.97, 17817.64, 18084.89, 18269.3]","[4945, 13995, 18489, 18488, 18487]"
17647867,"[18235.44, 18504.72, 18629.77, 18812.67, 24655.58]","[13995, 19471, 19472, 19665, 19664]"
17752173,"[712.17, 5574.2, 5803.51, 19992.91, 20278.71]","[14614, 14033, 14728, 17604, 17605]"
8643089,"[673.75, 5535.77, 5765.08, 19954.49, 20240.29]","[14614, 14033, 14728, 17604, 17605]"
15669104,"[698.26, 5560.29, 5789.59, 19979.0, 20264.8]","[14614, 14033, 14728, 17604, 17605]"
17744049,"[698.26, 5560.29, 5789.59, 19979.0, 20264.8]","[14614, 14033, 14728, 17604, 17605]"
17736745,"[724.17, 5586.19, 5815.5, 20004.91, 20290.71]","[14614, 14033, 14728, 17604, 17605]"
8642282,"[673.75, 5535.77, 5765.08, 19954.49, 20240.29]","[14614, 14033, 14728, 17604, 17605]"
