sa2_code,sa2_name,median_hh_income,hh_total,hh_low_u650,hh_high_ge2000,pct_low_u650,pct_high_ge2000,median_hh_income_2016,income_growth_rate,median_age
203021046,Newtown (Vic.),2092.0,2941,573,1118,0.194831689901394,0.3801428085685141,1674.0,0.2497013142174432,40.0
203021047,North Geelong - Bell Park,1386.0,5491,1307,1590,0.2380258604989983,0.289564742305591,1096.0,0.2645985401459854,42.0
203021485,Charlemont,1988.0,3225,376,1464,0.1165891472868217,0.453953488372093,,,31.0
203021486,Corio - Lovely Banks,1230.0,5753,1348,1368,0.2343125325916913,0.2377889796627846,,,36.0
203021487,Grovedale - Mount Duneed,1779.0,7745,1279,3069,0.1651387992253066,0.3962556488056811,,,36.0
203021488,Norlane,926.0,3336,1151,531,0.3450239808153477,0.1591726618705036,,,38.0
203031048,Clifton Springs,1424.0,5817,1128,1811,0.1939143888602372,0.311328863675434,1163.0,0.2244196044711952,45.0
203031049,Lorne - Anglesea,1684.0,1914,359,606,0.1875653082549634,0.3166144200626959,1262.0,0.3343898573692551,55.0
203031051,Portarlington,1139.0,3622,991,795,0.2736057426836002,0.2194919933738266,896.0,0.2712053571428571,59.0
203031052,Point Lonsdale - Queenscliff,1521.0,1868,389,550,0.2082441113490364,0.2944325481798715,1211.0,0.2559867877786952,61.0
203031053,Torquay,2281.0,6309,898,2900,0.1423363449041052,0.4596608020288477,1767.0,0.2908885116015846,40.0
203031489,Barwon Heads - Armstrong Creek,2201.0,3074,353,1454,0.1148340923877683,0.4729993493819128,,,35.0
203031490,Ocean Grove,1882.0,5657,956,2239,0.1689941665193565,0.3957928230510871,,,44.0
204011054,Alexandra,1135.0,2540,698,580,0.2748031496062992,0.2283464566929134,936.0,0.2126068376068376,54.0
204011055,Euroa,1133.0,2468,665,517,0.2694489465153971,0.2094813614262561,914.0,0.2396061269146608,55.0
204011056,Kilmore - Broadford,1574.0,4866,930,1631,0.1911220715166461,0.3351829017673653,1323.0,0.1897203325774754,40.0
204011057,Mansfield (Vic.),1331.0,3328,768,877,0.2307692307692307,0.2635216346153846,1063.0,0.2521166509877705,48.0
204011058,Nagambie,1293.0,1577,398,411,0.2523779327837666,0.2606214331008243,1061.0,0.2186616399622997,51.0
204011059,Seymour,1165.0,2326,625,547,0.2687016337059329,0.2351676698194325,977.0,0.1924257932446264,45.0
204011060,Seymour Surrounds,1900.0,1220,163,503,0.1336065573770491,0.4122950819672131,1525.0,0.2459016393442623,39.0
