rental_id,top_distances,top_school_ids
17746854,"[218.18, 354.07, 596.57, 1337.26, 1606.7]","[1402, 2111, 25, 8405, 2079]"
17750406,"[203.68, 339.57, 587.39, 1262.58, 1532.03]","[1402, 2111, 25, 8405, 2079]"
13825209,"[853.34, 989.23, 1118.79, 1902.52, 2235.7]","[1402, 2111, 25, 8405, 2079]"
14543577,"[761.94, 897.83, 1027.4, 1813.07, 2144.31]","[1402, 2111, 25, 8405, 2079]"
17665135,"[791.89, 927.78, 1057.34, 1843.01, 2110.99]","[1402, 2111, 25, 8405, 2079]"
17672056,"[758.44, 872.19, 967.68, 1394.67, 2235.86]","[1402, 25, 2111, 8405, 2079]"
17693996,"[895.74, 920.47, 1114.22, 1240.97, 2397.9]","[2111, 1402, 25, 8405, 2079]"
17703664,"[791.89, 927.78, 1057.34, 1843.01, 2110.99]","[1402, 2111, 25, 8405, 2079]"
17730568,"[216.05, 351.94, 594.45, 1424.03, 1693.47]","[1402, 2111, 25, 8405, 2079]"
17732984,"[701.07, 836.96, 966.53, 1510.71, 2178.49]","[1402, 2111, 25, 8405, 2079]"
17742130,"[853.01, 988.9, 1118.47, 1902.19, 2235.37]","[1402, 2111, 25, 8405, 2079]"
17747931,"[919.25, 1033.0, 1128.5, 1501.39, 2396.67]","[1402, 25, 2111, 8405, 2079]"
16308436,"[710.39, 846.28, 975.85, 1761.51, 2092.75]","[1402, 2111, 25, 8405, 2079]"
17673965,"[677.59, 791.34, 886.83, 1313.82, 2155.01]","[1402, 25, 2111, 8405, 2079]"
17695984,"[635.17, 771.06, 900.63, 1686.3, 2112.59]","[1402, 2111, 25, 8405, 2079]"
17743848,"[910.06, 1045.95, 1175.52, 1867.32, 2292.42]","[1402, 2111, 25, 8405, 2079]"
10794482,"[523.31, 659.2, 788.77, 1698.39, 2000.73]","[1402, 2111, 25, 8405, 2079]"
16228988,"[910.06, 1045.95, 1175.52, 1867.32, 2292.42]","[1402, 2111, 25, 8405, 2079]"
17667195,"[666.62, 741.29, 836.78, 1542.8, 2144.04]","[1402, 25, 2111, 8405, 2079]"
17714878,"[721.82, 857.71, 987.28, 1772.95, 2104.18]","[1402, 2111, 25, 8405, 2079]"
17719479,"[552.45, 666.2, 761.69, 1467.71, 2029.87]","[1402, 25, 2111, 8405, 2079]"
17726366,"[791.89, 927.78, 1057.34, 1843.01, 2110.99]","[1402, 2111, 25, 8405, 2079]"
