rental_id,top_distances,top_station_ids,distance_to_cbd
15852302,"[795.33, 20045.43, 21173.19]","['vic:rail:FGS', '10921', '12196']",1499.87
17074283,"[758.34, 20008.44, 21136.19]","['vic:rail:FGS', '10921', '12196']",1462.88
17738135,"[724.97, 19975.07, 21102.82]","['vic:rail:FGS', '10921', '12196']",1429.51
17746704,"[1096.71, 20346.81, 21474.56]","['vic:rail:FGS', '10921', '12196']",1801.25
17746759,"[949.54, 20196.98, 21324.73]","['vic:rail:FGS', '10921', '12196']",1654.09
17747037,"[724.97, 19975.07, 21102.82]","['vic:rail:FGS', '10921', '12196']",1429.51
17748362,"[860.31, 20110.41, 21238.16]","['vic:rail:FGS', '10921', '12196']",1564.85
17748505,"[855.45, 20105.55, 21233.31]","['vic:rail:FGS', '10921', '12196']",1559.99
17750941,"[1007.58, 20255.02, 21382.77]","['vic:rail:FGS', '10921', '12196']",1712.12
17752092,"[958.68, 20206.11, 21333.87]","['vic:rail:FGS', '10921', '12196']",1663.22
17752424,"[849.55, 20099.65, 21227.4]","['vic:rail:FGS', '10921', '12196']",1554.09
16521573,"[849.55, 20099.65, 21227.4]","['vic:rail:FGS', '10921', '12196']",1554.09
17691681,"[879.76, 20129.86, 21257.62]","['vic:rail:FGS', '10921', '12196']",1584.3
17724711,"[768.36, 20013.46, 21141.22]","['vic:rail:FGS', '10921', '12196']",1472.91
17729225,"[849.55, 20099.65, 21227.4]","['vic:rail:FGS', '10921', '12196']",1554.09
17733942,"[948.85, 20196.28, 21324.04]","['vic:rail:FGS', '10921', '12196']",1653.39
17735385,"[722.6, 19972.71, 21100.46]","['vic:rail:FGS', '10921', '12196']",1427.15
17736322,"[958.68, 20206.11, 21333.87]","['vic:rail:FGS', '10921', '12196']",1663.22
17741750,"[958.68, 20206.11, 21333.87]","['vic:rail:FGS', '10921', '12196']",1663.22
17742984,"[849.55, 20099.65, 21227.4]","['vic:rail:FGS', '10921', '12196']",1554.09
15894463,"[948.85, 20196.28, 21324.04]","['vic:rail:FGS', '10921', '12196']",1653.39
16325784,"[722.6, 19972.71, 21100.46]","['vic:rail:FGS', '10921', '12196']",1427.15
17073434,"[860.99, 20111.09, 21238.85]","['vic:rail:FGS', '10921', '12196']",1565.53
17463936,"[860.31, 20110.41, 21238.16]","['vic:rail:FGS', '10921', '12196']",1564.85
17606541,"[948.85, 20196.28, 21324.04]","['vic:rail:FGS', '10921', '12196']",1653.39
17635243,"[849.55, 20099.65, 21227.4]","['vic:rail:FGS', '10921', '12196']",1554.09
17666738,"[849.55, 20099.65, 21227.4]","['vic:rail:FGS', '10921', '12196']",1554.09
17692581,"[724.97, 19975.07, 21102.82]","['vic:rail:FGS', '10921', '12196']",1429.51
17693966,"[740.83, 20243.82, 21371.57]","['vic:rail:FGS', '10921', '12196']",1443.63
17704139,"[795.33, 20045.43, 21173.19]","['vic:rail:FGS', '10921', '12196']",1499.87
17710932,"[958.68, 20206.11, 21333.87]","['vic:rail:FGS', '10921', '12196']",1663.22
17712288,"[652.76, 19987.88, 21115.64]","['vic:rail:FGS', '10921', '12196']",1357.3
17721569,"[997.69, 20245.13, 21372.88]","['vic:rail:FGS', '10921', '12196']",1702.23
17722901,"[892.57, 20142.68, 21270.43]","['vic:rail:FGS', '10921', '12196']",1597.12
17725412,"[724.97, 19975.07, 21102.82]","['vic:rail:FGS', '10921', '12196']",1429.51
17727746,"[849.55, 20099.65, 21227.4]","['vic:rail:FGS', '10921', '12196']",1554.09
17727956,"[610.45, 19860.55, 20988.3]","['vic:rail:FGS', '10921', '12196']",1314.99
14699682,"[908.32, 20155.75, 21283.51]","['vic:rail:FGS', '10921', '12196']",1612.86
15671365,"[1031.51, 20281.61, 21409.37]","['vic:rail:FGS', '10921', '12196']",1736.05
16637090,"[860.31, 20110.41, 21238.16]","['vic:rail:FGS', '10921', '12196']",1564.85
16651211,"[860.31, 20110.41, 21238.16]","['vic:rail:FGS', '10921', '12196']",1564.85
17430354,"[649.59, 19967.12, 21094.88]","['vic:rail:FGS', '10921', '12196']",1354.13
17522792,"[947.73, 20195.16, 21322.92]","['vic:rail:FGS', '10921', '12196']",1652.27
17550674,"[947.73, 20195.16, 21322.92]","['vic:rail:FGS', '10921', '12196']",1652.27
17570163,"[947.73, 20195.16, 21322.92]","['vic:rail:FGS', '10921', '12196']",1652.27
17576651,"[890.52, 20137.96, 21265.71]","['vic:rail:FGS', '10921', '12196']",1595.07
17580381,"[947.73, 20195.16, 21322.92]","['vic:rail:FGS', '10921', '12196']",1652.27
17606926,"[758.89, 20008.99, 21136.75]","['vic:rail:FGS', '10921', '12196']",1463.43
17625834,"[975.58, 20225.68, 21353.44]","['vic:rail:FGS', '10921', '12196']",1680.12
17652110,"[958.68, 20206.11, 21333.87]","['vic:rail:FGS', '10921', '12196']",1663.22
15775515,"[812.57, 20057.67, 21185.43]","['vic:rail:FGS', '10921', '12196']",1517.11
16500954,"[812.57, 20057.67, 21185.43]","['vic:rail:FGS', '10921', '12196']",1517.11
17748692,"[948.99, 20668.32, 21796.07]","['vic:rail:FGS', '10921', '12196']",1404.37
17730568,"[20901.02, 20935.46, 22063.22]","['vic:rail:MCE_LI3', '10921', '12196']",1480.15
17745615,"[1258.14, 1757.74, 20505.57]","['vic:rail:FGS', '26245', '10921']",1962.68
17714878,"[1687.3, 21249.93, 21284.37]","['26245', 'vic:rail:MCE_LI3', '10921']",1890.86
17753557,"[262.17, 576.84, 577.12]","['10923', 'vic:rail:MCE_LI3', '12198']",492.52
17751346,"[262.17, 576.84, 577.12]","['10923', 'vic:rail:MCE_LI3', '12198']",492.52
17752334,"[251.17, 1584.22, 1823.05]","['10923', 'vic:rail:MCE_CN6', 'vic:rail:MCE_DP4']",481.53
17748112,"[287.96, 1621.01, 1859.84]","['10923', 'vic:rail:MCE_CN6', 'vic:rail:MCE_DP4']",518.32
17747023,"[287.96, 1621.01, 1859.84]","['10923', 'vic:rail:MCE_CN6', 'vic:rail:MCE_DP4']",518.32
17328122,"[287.96, 1621.01, 1859.84]","['10923', 'vic:rail:MCE_CN6', 'vic:rail:MCE_DP4']",518.32
17743766,"[246.97, 1580.02, 1818.85]","['10923', 'vic:rail:MCE_CN6', 'vic:rail:MCE_DP4']",477.32
17742996,"[287.96, 1621.01, 1859.84]","['10923', 'vic:rail:MCE_CN6', 'vic:rail:MCE_DP4']",518.32
17723496,"[251.17, 1584.22, 1823.05]","['10923', 'vic:rail:MCE_CN6', 'vic:rail:MCE_DP4']",481.53
17740705,"[287.96, 1621.01, 1859.84]","['10923', 'vic:rail:MCE_CN6', 'vic:rail:MCE_DP4']",518.32
17741436,"[251.17, 1584.22, 1823.05]","['10923', 'vic:rail:MCE_CN6', 'vic:rail:MCE_DP4']",481.53
17741566,"[251.17, 1584.22, 1823.05]","['10923', 'vic:rail:MCE_CN6', 'vic:rail:MCE_DP4']",481.53
17742088,"[707.64, 1022.32, 1708.86]","['10923', 'vic:rail:MCE_LI3', 'vic:rail:MCE_CN6']",938.0
17752651,"[313.98, 628.65, 1647.03]","['10923', 'vic:rail:MCE_LI3', 'vic:rail:MCE_CN6']",544.33
17751172,"[313.98, 628.65, 1647.03]","['10923', 'vic:rail:MCE_LI3', 'vic:rail:MCE_CN6']",544.33
17721252,"[378.23, 692.9, 1565.31]","['10923', 'vic:rail:MCE_LI3', 'vic:rail:MCE_CN6']",608.58
17746050,"[378.23, 692.9, 1565.31]","['10923', 'vic:rail:MCE_LI3', 'vic:rail:MCE_CN6']",608.58
14564452,"[378.23, 692.9, 1565.31]","['10923', 'vic:rail:MCE_LI3', 'vic:rail:MCE_CN6']",608.58
17743367,"[313.98, 628.65, 1647.03]","['10923', 'vic:rail:MCE_LI3', 'vic:rail:MCE_CN6']",544.33
17741490,"[378.23, 692.9, 1565.31]","['10923', 'vic:rail:MCE_LI3', 'vic:rail:MCE_CN6']",608.58
17742880,"[1145.47, 1460.14, 2240.29]","['10923', 'vic:rail:MCE_LI3', 'vic:rail:MCE_CN6']",1375.82
8434067,"[1200.63, 1515.31, 2295.46]","['10923', 'vic:rail:MCE_LI3', 'vic:rail:MCE_CN6']",1430.99
17752813,"[503.03, 817.71, 52535.29]","['10923', 'vic:rail:MCE_LI3', 'vic:rail:MCE_EN3']",733.39
17753750,"[529.47, 844.14, 45918.4]","['10923', 'vic:rail:MCE_LI3', 'vic:rail:MCE_EN3']",759.82
17666921,"[529.47, 844.14, 45918.4]","['10923', 'vic:rail:MCE_LI3', 'vic:rail:MCE_EN3']",759.82
17751079,"[503.03, 817.71, 52535.29]","['10923', 'vic:rail:MCE_LI3', 'vic:rail:MCE_EN3']",733.39
17691269,"[529.47, 844.14, 45918.4]","['10923', 'vic:rail:MCE_LI3', 'vic:rail:MCE_EN3']",759.82
17745514,"[503.03, 817.71, 52535.29]","['10923', 'vic:rail:MCE_LI3', 'vic:rail:MCE_EN3']",733.39
17749628,"[371.9, 686.57, 52404.16]","['10923', 'vic:rail:MCE_LI3', 'vic:rail:MCE_EN3']",602.25
14071521,"[315.28, 629.95, 52347.54]","['10923', 'vic:rail:MCE_LI3', 'vic:rail:MCE_EN3']",545.63
17745707,"[371.9, 686.57, 52404.16]","['10923', 'vic:rail:MCE_LI3', 'vic:rail:MCE_EN3']",602.25
17578373,"[503.03, 817.71, 52535.29]","['10923', 'vic:rail:MCE_LI3', 'vic:rail:MCE_EN3']",733.39
17750406,"[1088.35, 1403.02, 52637.07]","['10923', 'vic:rail:MCE_LI3', 'vic:rail:MCE_EN3']",1318.7
17665135,"[1667.31, 1981.98, 46215.03]","['10923', 'vic:rail:MCE_LI3', 'vic:rail:MCE_EN3']",1897.66
17703664,"[1667.31, 1981.98, 46215.03]","['10923', 'vic:rail:MCE_LI3', 'vic:rail:MCE_EN3']",1897.66
17695984,"[1668.91, 1983.59, 46326.34]","['10923', 'vic:rail:MCE_LI3', 'vic:rail:MCE_EN3']",1899.27
17726366,"[1667.31, 1981.98, 46215.03]","['10923', 'vic:rail:MCE_LI3', 'vic:rail:MCE_EN3']",1897.66
17731664,"[1602.98, 1917.65, 46150.7]","['10923', 'vic:rail:MCE_LI3', 'vic:rail:MCE_EN3']",1833.33
17623723,"[1668.91, 1983.59, 46326.34]","['10923', 'vic:rail:MCE_LI3', 'vic:rail:MCE_EN3']",1899.27
17664755,"[1667.31, 1981.98, 46215.03]","['10923', 'vic:rail:MCE_LI3', 'vic:rail:MCE_EN3']",1897.66
17665585,"[1667.31, 1981.98, 46215.03]","['10923', 'vic:rail:MCE_LI3', 'vic:rail:MCE_EN3']",1897.66
17687092,"[1667.31, 1981.98, 46215.03]","['10923', 'vic:rail:MCE_LI3', 'vic:rail:MCE_EN3']",1897.66
17695351,"[1602.98, 1917.65, 46150.7]","['10923', 'vic:rail:MCE_LI3', 'vic:rail:MCE_EN3']",1833.33
16557249,"[1667.31, 1981.98, 46215.03]","['10923', 'vic:rail:MCE_LI3', 'vic:rail:MCE_EN3']",1897.66
16605693,"[1674.01, 1988.69, 46221.74]","['10923', 'vic:rail:MCE_LI3', 'vic:rail:MCE_EN3']",1904.37
16640291,"[1668.91, 1983.59, 46326.34]","['10923', 'vic:rail:MCE_LI3', 'vic:rail:MCE_EN3']",1899.27
16781720,"[1674.01, 1988.69, 46221.74]","['10923', 'vic:rail:MCE_LI3', 'vic:rail:MCE_EN3']",1904.37
17112327,"[1668.91, 1983.59, 46326.34]","['10923', 'vic:rail:MCE_LI3', 'vic:rail:MCE_EN3']",1899.27
17213063,"[1668.91, 1983.59, 46326.34]","['10923', 'vic:rail:MCE_LI3', 'vic:rail:MCE_EN3']",1899.27
17322456,"[1667.31, 1981.98, 46215.03]","['10923', 'vic:rail:MCE_LI3', 'vic:rail:MCE_EN3']",1897.66
16167743,"[1674.01, 1988.69, 46221.74]","['10923', 'vic:rail:MCE_LI3', 'vic:rail:MCE_EN3']",1904.37
17731399,"[1318.46, 1324.18, 2422.42]","['10924', '11210', '12200']",2012.93
17746808,"[1354.88, 1360.6, 2458.85]","['10924', '11210', '12200']",2049.36
17750474,"[1567.87, 1573.59, 2671.83]","['10924', '11210', '12200']",2262.34
17690417,"[1318.46, 1324.18, 2422.42]","['10924', '11210', '12200']",2012.93
17713686,"[1434.86, 1440.58, 2538.83]","['10924', '11210', '12200']",2129.34
17722834,"[780.86, 936.13, 1095.93]","['10924', '12200', '12199']",989.57
17690290,"[780.86, 936.13, 1095.93]","['10924', '12200', '12199']",989.57
17734848,"[594.33, 1177.6, 1212.54]","['10924', '12199', '12200']",803.05
17748123,"[648.32, 995.68, 1231.58]","['10924', '12200', '12199']",857.03
15483048,"[594.33, 1177.6, 1212.54]","['10924', '12199', '12200']",803.05
17729855,"[594.33, 1177.6, 1212.54]","['10924', '12199', '12200']",803.05
17736302,"[594.33, 1177.6, 1212.54]","['10924', '12199', '12200']",803.05
17737925,"[780.86, 936.13, 1095.93]","['10924', '12200', '12199']",989.57
17733699,"[700.01, 1058.92, 13731.17]","['10924', '12199', 'vic:rail:MCE_EN1']",908.72
17737898,"[700.23, 925.34, 13731.4]","['10924', '12199', 'vic:rail:MCE_EN1']",550.79
17704902,"[576.01, 1110.53, 44457.48]","['10924', '12199', 'vic:rail:PAR']",735.97
17749062,"[786.35, 1320.88, 44667.83]","['10924', '12199', 'vic:rail:PAR']",946.77
17740786,"[786.35, 1320.88, 44667.83]","['10924', '12199', 'vic:rail:PAR']",946.77
17741509,"[786.35, 1320.88, 44667.83]","['10924', '12199', 'vic:rail:PAR']",946.77
15695092,"[311.28, 1258.17, 43747.73]","['10924', '12199', 'vic:rail:PAR']",883.61
17731589,"[363.64, 43800.09, 50339.38]","['10924', 'vic:rail:PAR', '26256']",1448.95
17745082,"[596.85, 43110.5, 50126.0]","['10924', 'vic:rail:PAR', '26256']",1456.29
16088420,"[592.23, 44028.68, 50347.64]","['10924', 'vic:rail:PAR', '26256']",1215.13
17741218,"[538.71, 43975.16, 50294.13]","['10924', 'vic:rail:PAR', '26256']",1161.62
17710303,"[592.23, 44028.68, 50347.64]","['10924', 'vic:rail:PAR', '26256']",1215.13
17730699,"[8597.19, 10877.78, 54142.41]","['11119', '11120', 'vic:rail:BEG']",54902.49
17752719,"[9300.19, 11580.78, 54292.75]","['11119', '11120', 'vic:rail:BEG']",55052.84
17707407,"[18257.38, 20537.97, 62858.26]","['11119', '11120', 'vic:rail:BEG']",63490.5
14995081,"[7141.48, 9422.07, 57405.86]","['11119', '11120', 'vic:rail:BEG']",58038.09
17700791,"[3559.93, 5840.52, 50172.5]","['11119', '11120', 'vic:rail:BEG']",50804.74
17735034,"[44261.78, 46542.37, 78664.81]","['11119', '11120', 'vic:rail:BEG']",83725.09
17732314,"[1019.39, 24102.86, 32595.73]","['vic:rail:UPW', '11122', '11123']",43838.77
17487919,"[11297.45, 30139.03, 31580.49]","['vic:rail:UPW', '11122', '11123']",45723.39
17518018,"[8144.38, 31181.89, 32623.35]","['vic:rail:UPW', '11122', '11123']",46766.25
17533004,"[6384.46, 28214.92, 36707.79]","['vic:rail:UPW', '11122', '11123']",47776.22
17000277,"[4918.03, 26748.49, 35241.36]","['vic:rail:UPW', '11122', '11123']",46484.39
17684213,"[12897.99, 13762.43, 13792.37]","['11198', '11197', 'vic:rail:ASH']",13379.41
17545628,"[1873.85, 3070.6, 4492.85]","['11198', '11200', 'vic:rail:ASH']",15113.6
17546403,"[1885.4, 3082.16, 4504.4]","['11198', '11200', 'vic:rail:ASH']",15125.16
17743924,"[1881.99, 3078.75, 4500.99]","['11198', '11200', 'vic:rail:ASH']",15121.75
17743925,"[1865.39, 3062.15, 4484.4]","['11198', '11200', 'vic:rail:ASH']",15105.15
17745003,"[1861.62, 3058.37, 4480.62]","['11198', '11200', 'vic:rail:ASH']",15101.37
17322194,"[1885.4, 3082.16, 4504.4]","['11198', '11200', 'vic:rail:ASH']",15125.16
17745262,"[1598.87, 2795.63, 4217.87]","['11198', '11200', 'vic:rail:ASH']",14838.63
16894376,"[1847.23, 4370.15, 4585.97]","['11198', 'vic:rail:ASH', 'vic:rail:ALM_EN1']",13610.02
17741330,"[2270.91, 4889.91, 5105.73]","['11198', 'vic:rail:ASH', 'vic:rail:ALM_EN1']",14486.13
17742203,"[1758.0, 4280.92, 4496.74]","['11198', 'vic:rail:ASH', 'vic:rail:ALM_EN1']",13520.79
17723749,"[1736.01, 4355.02, 4570.84]","['11198', 'vic:rail:ASH', 'vic:rail:ALM_EN1']",14975.77
