sa2_code,sa2_name,cnt_0_14,cnt_15_34,cnt_35_64,cnt_65_plus,pct_0_14,pct_15_34,pct_35_64,pct_65_plus
201011001,Alfredton,4032,4462,6167,2120,0.2394725901288828,0.26501158163568334,0.3662766526103225,0.12591316742887687
201011002,Ballarat,1783,2870,4648,2668,0.14706367535466844,0.23672055427251731,0.3833718244803695,0.22005938634114153
201011005,Buninyong,1508,1514,2907,1304,0.20771349862258953,0.20853994490358127,0.4004132231404959,0.1796143250688705
201011006,Delacombe,2273,3376,3431,1487,0.21332707648991084,0.31684655091506336,0.3220084467386204,0.13955889253871423
201011007,Smythes Creek,891,899,1845,601,0.21019108280254778,0.21207832035857513,0.43524416135881105,0.14177872139655578
201011008,Wendouree - Miners Rest,2833,4082,5267,2936,0.184692613599322,0.2661190429623835,0.343373101245192,0.19140752330660407
201011481,Ballarat East - Warrenheip,1528,2468,3494,1996,0.15783493440760252,0.2549323417002376,0.36091312880900733,0.20617704782563784
201011482,Ballarat North - Invermay,2762,3401,5756,2696,0.1872542372881356,0.23057627118644067,0.3902372881355932,0.18277966101694915
201011483,Canadian - Mount Clear,2146,3554,4283,2114,0.17536978017487947,0.29043066110974913,0.3500040859687832,0.17275476015363242
201011484,Sebastopol - Redan,2169,3619,4512,2663,0.16568634940035137,0.276449469100909,0.34466427316476966,0.20342219845695517
201021009,Bacchus Marsh Surrounds,1240,1278,2815,1193,0.18890920170627665,0.19469835466179158,0.4288543570993297,0.18174893357708713
201021010,Creswick - Clunes,1320,1323,3306,2043,0.16340678385739044,0.1637781629116118,0.4092597177519188,0.25290913592473385
201021011,Daylesford,1279,1423,4402,2746,0.1284652470871836,0.14292888710325433,0.44214543993571714,0.275813579750904
201021012,Gordon (Vic.),1203,1232,2811,1101,0.18900235663786333,0.19355852317360567,0.44163393558523173,0.17297721916732128
201031013,Avoca,507,556,1384,1064,0.14293769382576826,0.15675218494502396,0.39018889202142654,0.2999718071609811
201031014,Beaufort,674,826,1954,1155,0.14544669831678894,0.1782477341389728,0.42166594734570567,0.24924471299093656
201031015,Golden Plains - North,953,1002,2023,918,0.19389623601220754,0.20386571719226856,0.4115971515768057,0.18677517802644963
201031016,Maryborough (Vic.),1212,1581,2720,2489,0.14867517173699707,0.19394013738959764,0.3336604514229637,0.30532384690873404
201031017,Maryborough Surrounds,795,870,2253,1579,0.1437613019891501,0.15732368896925858,0.4074141048824593,0.28553345388788426
202011018,Bendigo,2267,4275,5360,2823,0.15175045183747238,0.28616373251221633,0.35879242251824084,0.18896847178526005
