model,MAE,RMSE,MAPE%
"SARIMA(1, 2, 2)x(0, 1, 1, 4)",45.823475690624434,51.01821564389946,13.411173257509331
"SARIMAX(1, 2, 2)x(0, 1, 1, 4)+exog",47.66456782991283,52.73147166199135,13.934610610846626
